,Name,Campaign Twitter,Personal Twitter,Official Twitter
276,Karen Bedonie,NaN,NaN,NaN
277,Ginger Grider,NaN,NaN,NaN
278,Kathy Hochul,https://www.twitter.com/KathyHochul,NaN,NaN
279,Tom Suozzi,https://www.twitter.com/Tom_Suozzi,NaN,NaN
280,Jumaane Williams,https://www.twitter.com/JumaaneWilliams,NaN,NaN
281,Rob Astorino,https://www.twitter.com/RobAstorino,NaN,NaN
282,Andrew Giuliani,https://www.twitter.com/AndrewHGiuliani,NaN,NaN
283,Harry Wilson,https://www.twitter.com/HarryWilsonNY,NaN,NaN
284,Lee Zeldin,https://www.twitter.com/leezeldin,NaN,NaN
285,Kathy Hochul,https://www.twitter.com/KathyHochul,NaN,NaN
286,Jumaane Williams,https://www.twitter.com/JumaaneWilliams,NaN,NaN
287,Lee Zeldin,https://www.twitter.com/leezeldin,NaN,https://www.twitter.com/GovChrisSununu
288,John Cranley,https://www.twitter.com/JohnCranley,NaN,NaN
289,Nan Whaley,https://www.twitter.com/nanwhaley,NaN,NaN
290,Joe Blystone,https://www.twitter.com/JoeBlystone22,NaN,NaN
291,Richard Michael DeWine,https://www.twitter.com/MikeDeWine,NaN,NaN
292,Ron Hood,NaN,NaN,https://www.twitter.com/GovMLG
293,Jim Renacci,https://www.twitter.com/JimRenacci,NaN,NaN
294,Tim Grady,https://www.twitter.com/DarkHorse4Ohio,NaN,NaN
295,Craig Patton,NaN,NaN,NaN
296,Renea Turner,NaN,NaN,NaN
297,Marshall Usher,NaN,NaN,NaN
298,Joy Hofmeister,https://www.twitter.com/joy4ok,NaN,NaN
299,Constance Johnson,https://www.twitter.com/GovConnie,NaN,NaN
300,Joel Kintsel,https://www.twitter.com/JoelKintsel,NaN,NaN
301,Moira McCabe,https://www.twitter.com/Moira_McCabe81,NaN,https://www.twitter.com/GovKathyHochul
302,Mark Sherwood,https://www.twitter.com/Sherwood2022,NaN,NaN
303,Kevin Stitt,https://www.twitter.com/Stitt4Gov,NaN,https://www.twitter.com/RepTomSuozzi
304,Ervin Yen,https://www.twitter.com/Yen4gov,NaN,NaN
305,Natalie Bruno,https://www.twitter.com/nataliebruno,NaN,NaN
306,David Beem,NaN,NaN,NaN
307,Julian Bell,https://www.twitter.com/bell4or,NaN,NaN
308,Wilson Bright,NaN,NaN,NaN
309,George Carrillo,https://www.twitter.com/georgefororegon,NaN,https://www.twitter.com/RepLeeZeldin
310,Michael Cross,https://www.twitter.com/Michael4oregon,NaN,NaN
311,Ifeanyichukwu Diru,NaN,NaN,https://www.twitter.com/GovKathyHochul
312,Peter Hall,NaN,NaN,NaN
313,Tina Kotek,https://www.twitter.com/Tina4Oregon,https://www.twitter.com/TinaKotek,NaN
314,Keisha Merchant,NaN,NaN,https://www.twitter.com/RepLeeZeldin
315,Tobias Read,https://www.twitter.com/TobiasRead,NaN,NaN
316,Patrick Starnes,https://www.twitter.com/starnes2022,NaN,NaN
317,Dave Stauffer,NaN,https://www.twitter.com/Staufent33,NaN
318,John Sweeney,NaN,NaN,NaN
319,Michael Trimble,https://www.twitter.com/trimble4gov,NaN,https://www.twitter.com/GovMikeDeWine
320,Genevieve Wilson,NaN,NaN,NaN
321,Raymond Baldwin,NaN,NaN,NaN
322,Bridget Barton,https://www.twitter.com/forbridget,NaN,NaN
323,Court Boice,NaN,NaN,NaN
324,David Burch,NaN,NaN,NaN
325,Reed Christensen,NaN,NaN,NaN
326,Christine Drazan,https://www.twitter.com/christinedrazan,NaN,NaN
327,Jessica Gomez,https://www.twitter.com/jessica4oregon,NaN,NaN
328,Nick Hess,https://www.twitter.com/votehess22,NaN,NaN
329,Tim McCloud,https://www.twitter.com/OR4McCloud,NaN,NaN
330,Kerry McQuisten,https://www.twitter.com/KerryMcQ4Oregon,NaN,NaN
331,Brandon Merritt,https://www.twitter.com/Merritt4Oregon,NaN,NaN
332,Bud Pierce,https://www.twitter.com/DrBudPierce,NaN,https://www.twitter.com/GovStitt
333,John Presco,NaN,NaN,NaN
334,Stan Pulliam,https://www.twitter.com/StanPulliam,NaN,NaN
335,Amber Richardson,https://www.twitter.com/AmberFirst4,NaN,NaN
336,Bill Sizemore,NaN,NaN,NaN
337,Stefan Strek,NaN,https://www.twitter.com/realStefanStrek,NaN
338,Marc Thielman,https://www.twitter.com/marcfororegon,NaN,NaN
339,Bob Tiernan,NaN,NaN,NaN
340,Betsy Johnson,https://www.twitter.com/senbetsyjohnson,NaN,NaN
341,Tina Kotek,https://www.twitter.com/Tina4Oregon,https://www.twitter.com/TinaKotek,NaN
342,R. Leon Noble,https://www.twitter.com/Noble4ORGov2022,NaN,NaN
343,Paul Romero,https://www.twitter.com/PJR4Oregon,https://www.twitter.com/realPauljRomero,NaN
344,Donice Smith,NaN,NaN,NaN
345,Josh Shapiro,https://www.twitter.com/JoshShapiroPA,NaN,https://www.twitter.com/TreasurerRead
346,Lou Barletta,https://www.twitter.com/loubarletta_pa,https://www.twitter.com/RepLouBarletta,NaN
347,Jake Corman III,NaN,NaN,NaN
348,Joe Gale,https://www.twitter.com/VoteJoeGalePA,NaN,NaN
349,Charlie Gerow,https://www.twitter.com/CharlieforGovPA,https://www.twitter.com/charlie_gerow,NaN
350,Melissa Hart,https://www.twitter.com/HartForPA,https://www.twitter.com/HartofPgh,NaN
351,Doug Mastriano,https://www.twitter.com/dougmastriano,NaN,NaN
352,Bill McSwain,https://www.twitter.com/McSwainPA,NaN,NaN
353,David White,https://www.twitter.com/davewhiteforgov,NaN,NaN
354,Nche Zama,https://www.twitter.com/zamaforpa,NaN,NaN
355,Christina Digiulio,https://www.twitter.com/PKforPA,NaN,NaN
356,Matt Hackenburg,https://www.twitter.com/matthackenburg,NaN,NaN
357,Joseph Soloski,https://www.twitter.com/joesoloski,NaN,NaN
358,Matt Brown,https://www.twitter.com/mattbrownRI,NaN,NaN
359,Helena Foulkes,https://www.twitter.com/HelenaBFoulkes,NaN,NaN
360,Nellie Gorbea,https://www.twitter.com/NellieGorbea,NaN,NaN
